Id_cliente,Reciente,Frequencia,Monto,score_r,score_f,score_m,rfm,segment,Value
HV-15925,30,5,17986.0376,5,2,2,522,Potential Loyalist,Very Good
IA-16195,294,3,21165.958,1,1,3,113,Lost,Bad
IA-16270,40,8,34879.96,4,4,4,444,Need Attention,Good
IÁ-16285,478,5,10705.119999999999,1,2,1,121,Lost,Bad
IB-16090,23,9,37973.5064,5,4,4,544,Champions,Very Good
IB-16150,199,10,34233.410800000005,2,5,4,254,Need Attention,Average
IB-16180,70,5,41344.32,3,2,5,325,Potential Loyalist,Average
IC-16165,42,4,5121.9236,4,1,1,411,Promising,Good
IC-16210,106,4,21413.72,3,1,3,313,Potential Loyalist,Average
IC-16405,42,8,9455.56,4,4,1,441,Potential Loyalist,Good
IC-16420,117,6,56681.1392,2,2,5,225,Can't Lose Them,Low
IC-16540,54,9,65761.0836,4,4,5,445,Loyal Customers,Good
IC-16555,86,6,24800.039999999997,3,2,3,323,Hibernating,Average
ID-16345,1391,1,2007.6000000000001,1,1,1,111,Lost,Bad
IE-16255,62,10,27254.72,4,5,3,453,Potential Loyalist,Very Good
IG-16495,239,4,13359.079999999998,2,1,2,212,About To Sleep,Low
IG-16570,112,10,11912.039999999999,3,5,1,351,Promising,Good
IL-16105,85,7,16288.798799999999,3,3,2,332,Hibernating,Average
ÍL-16330,425,3,5634.004,1,1,1,111,Lost,Bad
IL-16375,3,8,18118.9164,5,4,2,542,Loyal Customers,Very Good
IL-16390,63,6,27238.8324,4,2,3,423,Potential Loyalist,Good
IL-16510,226,4,12761.4,2,1,2,212,About To Sleep,Low
IL-16600,2,6,28184.48,5,2,4,524,Champions,Very Good
IM-16225,230,2,2818.4,2,1,1,211,About To Sleep,Low
IM-16435,83,5,18354.679999999997,3,2,2,322,Hibernating,Average
IO-16315,932,5,38346.1728,1,2,4,124,At Risk,Bad
IR-16360,6,10,19563.28,5,5,2,552,Loyal Customers,Very Good
IR-16465,69,11,74516.52,3,5,5,355,Promising,Good
IR-16480,545,2,1701.56,1,1,1,111,Lost,Bad
IR-16525,42,7,30413.5672,4,3,4,434,Need Attention,Good
IS-16120,111,5,28105.866400000003,3,2,4,324,Potential Loyalist,Average
IS-16240,6,7,26595.6,5,3,3,533,Potential Loyalist,Very Good
IS-16450,386,4,42499.68,1,1,5,115,At Risk,Bad
IS-16585,540,4,9265.44,1,1,1,111,Lost,Bad
IV-16135,44,4,8476,4,1,1,411,Promising,Good
IV-16300,307,6,9841.8748,1,2,1,121,Lost,Bad
JA-16705,663,4,4417.3,1,1,1,111,Lost,Bad
JA-16795,48,8,25044.567199999998,4,4,3,443,Need Attention,Good
JA-16885,41,5,30236.68,4,2,4,424,Potential Loyalist,Good
JA-16990,24,6,4555.360000000001,5,2,1,521,Potential Loyalist,Very Good
JB-16675,300,7,32702.536399999997,1,3,4,134,At Risk,Bad
JB-16690,36,7,28444.48,4,3,4,434,Need Attention,Good
JC-16960,3,5,4772.12,5,2,1,521,Potential Loyalist,Very Good
JC-17005,50,6,21541.0064,4,2,3,423,Potential Loyalist,Good
JC-17035,46,8,36505.632,4,4,4,444,Need Attention,Good
JC-17110,286,3,11622.7536,1,1,1,111,Lost,Bad
JD-16630,28,6,15951.7536,5,2,2,522,Potential Loyalist,Very Good
JD-16900,177,7,33835.7388,2,3,4,234,Can't Lose Them,Low
JG-16945,83,5,13196.047599999998,3,2,2,322,Hibernating,Average
JG-17020,42,7,38802.328,4,3,4,434,Need Attention,Good
JH-16750,13,13,61703.75200000001,5,5,5,555,Champions,Very Good
JL-16870,106,4,13170.783599999999,3,1,2,312,About To Sleep,Average
JM-16645,127,4,4559.88,2,1,1,211,About To Sleep,Low
JM-16720,108,7,16793.2,3,3,2,332,Hibernating,Average
JM-16780,84,2,8312.8,3,1,1,311,About To Sleep,Average
JM-16825,133,2,4692.3224,2,1,1,211,About To Sleep,Low
JO-16735,44,14,86962.4432,4,5,5,455,Champions,Very Good
JP-16975,64,5,19045.920000000002,3,2,2,322,Hibernating,Average
JR-16615,76,8,23774.3312,3,4,3,343,Need Attention,Average
JR-16840,27,7,16136.541599999999,5,3,2,532,Potential Loyalist,Very Good
JS-16660,322,5,9081.24,1,2,1,121,Lost,Bad
JS-16810,295,1,5215.480000000001,1,1,1,111,Lost,Bad
JS-16915,150,7,27640.1656,2,3,3,233,Hibernating,Low
JS-17095,20,7,57182.873999999996,5,3,5,535,Champions,Very Good
JT-16855,43,13,37702.8548,4,5,4,454,Champions,Very Good
JT-17050,108,7,47624.2292,3,3,5,335,Loyal Customers,Average
JU-16765,72,11,48068.3944,3,5,5,355,Promising,Good
JU-17065,191,4,6275.04,2,1,1,211,About To Sleep,Low
JV-17080,231,8,27997.68,2,4,4,244,Can't Lose Them,Low
JZ-16930,54,4,18477.8896,4,1,2,412,Promising,Good
KA-17125,42,3,12526.480000000001,4,1,2,412,Promising,Good
KA-17215,244,5,17889.3744,1,2,2,122,At Risk,Bad
KÁ-17245,51,8,52194.24,4,4,5,445,Loyal Customers,Good
KA-17350,27,13,96565.3152,5,5,5,555,Champions,Very Good
KA-17365,37,12,56462.84,4,5,5,455,Champions,Very Good
KB-17260,5,5,46185.4312,5,2,5,525,Champions,Very Good
KC-17200,157,6,44462.3252,2,2,5,225,Can't Lose Them,Low
KC-17305,106,3,25718.0592,3,1,3,313,Potential Loyalist,Average
KD-17170,120,5,24610.474,2,2,3,223,Hibernating,Low
KL-17290,98,7,47189.0896,3,3,5,335,Loyal Customers,Average
KM-17185,475,2,764.4000000000001,1,1,1,111,Lost,Bad
KP-17140,45,8,21076.097599999997,4,4,3,443,Need Attention,Good
KP-17230,191,6,19493.6048,2,2,2,222,Hibernating,Low
KP-17275,143,8,36697.484000000004,2,4,4,244,Can't Lose Them,Low
KS-17320,14,4,12803.080000000002,5,1,2,512,Potential Loyalist,Very Good
KV-17155,734,2,780.24,1,1,1,111,Lost,Bad
KV-17335,37,9,58532.96000000001,4,4,5,445,Loyal Customers,Good
LA-17395,380,7,32212.2788,1,3,4,134,At Risk,Bad
LÁ-17620,105,6,50413.5488,3,2,5,325,Potential Loyalist,Average
LA-17650,152,5,10539.4268,2,2,1,221,About To Sleep,Low
LA-17710,30,7,27604.5976,5,3,3,533,Potential Loyalist,Very Good
LA-17905,27,10,32699.64,5,5,4,554,Champions,Very Good
LA-17980,70,10,40629.24,3,5,5,355,Promising,Good
LA-18040,434,5,6329.199999999998,1,2,1,121,Lost,Bad
LB-17380,48,5,11985.003999999999,4,2,1,421,Potential Loyalist,Good
LB-17425,66,11,53165.1648,3,5,5,355,Promising,Good
LB-17545,201,3,23113.600000000002,2,1,3,213,About To Sleep,Low
LB-17860,77,5,20894.3564,3,2,3,323,Hibernating,Average
LB-17950,77,3,2656.36,3,1,1,311,About To Sleep,Average
LB-18070,265,3,2033.4,1,1,1,111,Lost,Bad
LC-17440,147,5,6001.72,2,2,1,221,About To Sleep,Low
LC-17485,112,4,12010.64,3,1,1,311,About To Sleep,Average
LC-17530,192,8,27092.9376,2,4,3,243,At Risk,Low
LC-17635,6,13,101250.56,5,5,5,555,Champions,Very Good
LC-17800,90,7,23194.399999999998,3,3,3,333,Hibernating,Average
LC-17965,28,10,42630.96,5,5,5,555,Champions,Very Good
LC-18010,71,6,18884.4892,3,2,2,322,Hibernating,Average
LD-18130,52,11,28826.12,4,5,4,454,Champions,Very Good
LE-17590,71,11,30576.2168,3,5,4,354,Promising,Good
LF-17500,37,11,31888.512,4,5,4,454,Champions,Very Good
LG-17410,50,8,37941,4,4,4,444,Need Attention,Good
LG-17515,24,3,15086.0984,5,1,2,512,Potential Loyalist,Very Good
LG-17815,64,5,24458.480000000003,3,2,3,323,Hibernating,Average
LG-17920,14,10,54858.24,5,5,5,555,Champions,Very Good
LL-17845,71,9,24559.745199999998,3,4,3,343,Need Attention,Average
LL-18085,84,10,54660.0488,3,5,5,355,Promising,Good
LM-17605,50,8,41008.314,4,4,5,445,Loyal Customers,Good
LM-17755,574,4,4021,1,1,1,111,Lost,Bad
LM-17995,43,6,16078.206400000001,4,2,2,422,Potential Loyalist,Good
LM-18115,208,4,12092.44,2,1,2,212,About To Sleep,Low
LN-17680,86,5,8837.12,3,2,1,321,About To Sleep,Average
LO-17455,408,5,16897.791200000003,1,2,2,122,At Risk,Bad
LP-17725,166,8,16662.98,2,4,2,242,At Risk,Low
LP-17740,95,6,30602.03,3,2,4,324,Potential Loyalist,Average
LP-17785,362,7,20161.594399999998,1,3,3,133,At Risk,Bad
LR-17665,63,7,29337.2344,4,3,4,434,Need Attention,Good
LS-17560,104,4,24837.8648,3,1,3,313,Potential Loyalist,Average
LS-17695,199,5,9611.64,2,2,1,221,About To Sleep,Low
LS-17875,6,8,22311.9152,5,4,3,543,Loyal Customers,Very Good
LS-17890,188,3,15784.839999999998,2,1,2,212,About To Sleep,Low
LS-18100,43,6,17813.88,4,2,2,422,Potential Loyalist,Good
LT-17935,120,6,31121.3812,2,2,4,224,Can't Lose Them,Low
LV-17470,387,9,36096.2,1,4,4,144,Can't Lose Them,Bad
LV-17575,32,10,31554.2196,4,5,4,454,Champions,Very Good
LV-17770,35,9,17436.1884,4,4,2,442,Potential Loyalist,Good
LV-17830,73,9,43502.54,3,4,5,345,Loyal Customers,Average
LV-18025,21,5,25194.8,5,2,3,523,Potential Loyalist,Very Good
LV-18055,205,5,16200.679999999998,2,2,2,222,Hibernating,Low
LV-18145,3,11,24185.12,5,5,3,553,Loyal Customers,Very Good
MA-18250,78,6,28743.57,3,2,4,324,Potential Loyalist,Average
MA-18370,13,8,24501.573200000003,5,4,3,543,Loyal Customers,Very Good
MA-18415,40,5,38698.96,4,2,4,424,Potential Loyalist,Good
MA-18580,452,3,18851.603999999996,1,1,2,112,Lost,Bad
MA-18610,488,1,1457.5999999999997,1,1,1,111,Lost,Bad
MA-18670,418,2,18603.7576,1,1,2,112,Lost,Bad
MA-18685,15,12,54407.624,5,5,5,555,Champions,Very Good
MA-18850,13,10,53897.799999999996,5,5,5,555,Champions,Very Good
MA-18925,59,3,13291.48,4,1,2,412,Promising,Good
MB-18805,73,5,30028.9184,3,2,4,324,Potential Loyalist,Average
MB-19030,477,4,22373.253600000004,1,1,3,113,Lost,Bad
MC-18445,31,9,36651.92,5,4,4,544,Champions,Very Good
MC-18505,62,11,68149.1744,4,5,5,455,Champions,Very Good
MC-18595,12,7,42859.9152,5,3,5,535,Champions,Very Good
MC-18760,36,8,32512.240000000005,4,4,4,444,Need Attention,Good
MC-18865,296,10,29519.748000000003,1,5,4,154,Can't Lose Them,Low
MC-18880,26,7,42028.4912,5,3,5,535,Champions,Very Good
MC-18895,575,4,38660.854,1,1,4,114,At Risk,Bad
MC-19045,21,8,72200.82,5,4,5,545,Champions,Very Good
MF-18280,13,6,14272.8,5,2,2,522,Potential Loyalist,Very Good
MF-18385,283,2,27028.68,1,1,3,113,Lost,Bad
MF-18490,238,6,35927.187999999995,2,2,4,224,Can't Lose Them,Low
MG-18355,188,7,31858.8036,2,3,4,234,Can't Lose Them,Low
MG-18775,512,3,17649.447200000002,1,1,2,112,Lost,Bad
MG-18910,99,8,36433.0856,3,4,4,344,Need Attention,Average
MG-18970,160,7,62839.6632,2,3,5,235,At Risk,Low
MG-19015,84,6,23505.705599999998,3,2,3,323,Hibernating,Average
ML-18325,154,6,23819.640000000003,2,2,3,223,Hibernating,Low
ML-18790,122,8,43219.88,2,4,5,245,At Risk,Low
ML-18940,30,9,25734.074,5,4,3,543,Loyal Customers,Very Good
MM-18175,267,6,20963.36,1,2,3,123,At Risk,Bad
MM-18220,275,11,22407.32,1,5,3,153,At Risk,Low
MM-18460,163,5,26654.3872,2,2,3,223,Hibernating,Low
MM-18475,478,3,7182.264,1,1,1,111,Lost,Bad
MM-18535,75,3,11096.199999999997,3,1,1,311,About To Sleep,Average
MM-18625,108,3,15725.3208,3,1,2,312,About To Sleep,Average
MM-18715,428,6,47358.7984,1,2,5,125,At Risk,Bad
MN-18160,656,4,5388,1,1,1,111,Lost,Bad
MO-18700,194,6,12367.32,2,2,2,222,Hibernating,Low
MO-18730,119,8,33291.2136,2,4,4,244,Can't Lose Them,Low
MP-19000,51,2,1574.8,4,1,1,411,Promising,Good
MQ-18835,51,5,12072.899999999998,4,2,2,422,Potential Loyalist,Good
MR-18205,17,10,31335.446000000004,5,5,4,554,Champions,Very Good
MR-18400,334,7,48240.1696,1,3,5,135,At Risk,Bad
MR-18430,72,5,38402.6324,3,2,4,324,Potential Loyalist,Average
MR-18550,83,7,33146.2168,3,3,4,334,Need Attention,Average
MR-18745,789,5,40584.246400000004,1,2,5,125,At Risk,Bad
MR-18820,21,8,24525.24,5,4,3,543,Loyal Customers,Very Good
MR-18985,65,7,46355.920000000006,3,3,5,335,Loyal Customers,Average
MS-18295,15,4,57787.546800000004,5,1,5,515,New Customers,Very Good
MS-18565,386,4,24356.341200000003,1,1,3,113,Lost,Bad
MS-18655,174,3,3922.8800000000006,2,1,1,211,About To Sleep,Low
MT-18235,64,7,45329.00000000001,3,3,5,335,Loyal Customers,Average
MT-18265,476,5,15893.9576,1,2,2,122,At Risk,Bad
MT-18520,47,4,19839.2,4,1,3,413,Promising,Good
MT-18640,57,8,49797.84,4,4,5,445,Loyal Customers,Good
MU-18955,56,6,5329.68,4,2,1,421,Potential Loyalist,Good
MV-18190,91,5,15643.706,3,2,2,322,Hibernating,Average
MV-18310,62,6,4545.66,4,2,1,421,Potential Loyalist,Good
MV-18340,205,3,20625.177200000002,2,1,3,213,About To Sleep,Low
"NA-19195",369,6,19585.8848,1,2,2,122,At Risk,Bad
"NA-19285",338,5,29637.399999999998,1,2,4,124,At Risk,Bad
"NA-19495",25,10,29594.479999999996,5,5,4,554,Champions,Very Good
"NA-19510",108,7,16532.849599999998,3,3,2,332,Hibernating,Average
NB-19135,13,5,16324.2,5,2,2,522,Potential Loyalist,Very Good
NC-19150,6,12,32946.889599999995,5,5,4,554,Champions,Very Good
NC-19255,115,7,26161.359999999997,2,3,3,233,Hibernating,Low
NC-19270,301,5,4956.4,1,2,1,121,Lost,Bad
NE-19060,24,7,28071.0056,5,3,4,534,Champions,Very Good
NG-19165,322,8,33453.479999999996,1,4,4,144,Can't Lose Them,Bad
NH-19240,101,7,16770.56,3,3,2,332,Hibernating,Average
NJ-19330,44,10,49085.9712,4,5,5,455,Champions,Very Good
NJ-19420,483,7,32928.8768,1,3,4,134,At Risk,Bad
NL-19105,139,3,25874.72,2,1,3,213,About To Sleep,Low
NL-19300,86,13,76843.2708,3,5,5,355,Promising,Good
NL-19435,61,11,38965.0352,4,5,4,454,Champions,Very Good
NL-19480,64,10,57706.284,3,5,5,355,Promising,Good
NL-19525,1,9,52956.880000000005,5,4,5,545,Champions,Very Good
NM-19090,7,8,28574.820000000003,5,4,4,544,Champions,Very Good
NM-19120,98,8,20007.3416,3,4,3,343,Need Attention,Average
NM-19315,391,4,14720.644800000002,1,1,2,112,Lost,Bad
NM-19390,34,9,29617.760000000002,4,4,4,444,Need Attention,Good
NM-19450,467,2,29700.860400000005,1,1,4,114,At Risk,Bad
NP-19210,152,7,24968.844,2,3,3,233,Hibernating,Low
NP-19225,23,4,24263.62,5,1,3,513,New Customers,Very Good
NP-19375,280,4,40285.0952,1,1,4,114,At Risk,Bad
NP-19405,36,7,31158.2808,4,3,4,434,Need Attention,Good
NP-19540,44,3,11340.36,4,1,1,411,Promising,Good
NQ-19075,9,6,16513.62,5,2,2,522,Potential Loyalist,Very Good
NR-19345,65,6,24262.237999999998,3,2,3,323,Hibernating,Average
NS-19465,1,10,38668.904,5,5,4,554,Champions,Very Good
NV-19180,223,4,19663.010000000002,2,1,2,212,About To Sleep,Low
NV-19360,174,5,4614.2,2,2,1,221,About To Sleep,Low
ÓA-19735,23,5,16226,5,2,2,522,Potential Loyalist,Very Good
ÓA-19750,17,9,15614.5716,5,4,2,542,Loyal Customers,Very Good
OB-19705,444,4,19313.12,1,1,2,112,Lost,Bad
OG-19615,475,7,33020.8448,1,3,4,134,At Risk,Bad
OG-19795,94,14,94625.2884,3,5,5,355,Promising,Good
OH-19675,35,3,12661.999999999998,4,1,2,412,Promising,Good
OL-19570,21,8,18236.64,5,4,2,542,Loyal Customers,Very Good
OL-19645,299,8,17954.84,1,4,2,142,At Risk,Bad
OM-19660,273,5,7506.759999999999,1,2,1,121,Lost,Bad
OM-19720,554,5,3458.52,1,2,1,121,Lost,Bad
OM-19765,160,8,27018.2028,2,4,3,243,At Risk,Low
OM-19780,190,5,9637.72,2,2,1,221,About To Sleep,Low
OO-19555,121,5,15730.56,2,2,2,222,Hibernating,Low
OP-19630,78,8,17976.96,3,4,2,342,Need Attention,Average
OP-19690,16,6,11131.72,5,2,1,521,Potential Loyalist,Very Good
OS-19585,41,5,9736.72,4,2,1,421,Potential Loyalist,Good
OT-19600,7,7,10183.481600000001,5,3,1,531,Potential Loyalist,Very Good
PA-19900,33,13,41053.56,4,5,5,455,Champions,Very Good
PA-20080,4,5,26659.726000000002,5,2,3,523,Potential Loyalist,Very Good
PB-19810,107,7,25198.129599999997,3,3,3,333,Hibernating,Average
PC-19840,10,9,39717.9068,5,4,4,544,Champions,Very Good
PC-19915,28,8,78031.5232,5,4,5,545,Champions,Very Good
PC-20020,56,10,14619.28,4,5,2,452,Potential Loyalist,Very Good
PC-20050,508,7,47228.3352,1,3,5,135,At Risk,Bad
PE-19960,23,4,9702.56,5,1,1,511,New Customers,Very Good
PE-20125,210,5,25155.039999999997,2,2,3,223,Hibernating,Low
PL-19930,188,10,39790.0032,2,5,4,254,Need Attention,Average
PL-19945,84,7,48438.36,3,3,5,335,Loyal Customers,Average
PL-20095,76,4,6356.88,3,1,1,311,About To Sleep,Average
PM-19975,145,5,24749.136399999996,2,2,3,223,Hibernating,Low
PN-20005,240,5,28678.36,2,2,4,224,Can't Lose Them,Low
PO-20110,156,7,53365.025200000004,2,3,5,235,At Risk,Low
PR-19990,118,8,54375.7612,2,4,5,245,At Risk,Low
PS-19855,422,5,12923.08,1,2,2,122,At Risk,Bad
PS-19870,78,7,23993.9728,3,3,3,333,Hibernating,Average
PS-20065,63,3,10355.2,4,1,1,411,Promising,Good
PT-19885,481,4,33525.0408,1,1,4,114,At Risk,Bad
PV-20035,101,13,28763.62,3,5,4,354,Promising,Good
PZ-19825,119,8,19939.28,2,4,3,243,At Risk,Low
QC-20140,87,8,61885.4884,3,4,5,345,Loyal Customers,Average
QG-20185,125,9,63495.0952,2,4,5,245,At Risk,Low
QG-20200,115,5,23782.440000000006,2,2,3,223,Hibernating,Low
QM-20155,68,11,38167.68,3,5,4,354,Promising,Good
QM-20170,628,2,8748,1,1,1,111,Lost,Bad
RA-20290,97,7,7917.5599999999995,3,3,1,331,Potential Loyalist,Average
RA-20530,134,10,74355.6636,2,5,5,255,Can't Lose Them,Average
RB-20230,651,3,23295.8,1,1,3,113,Lost,Bad
RC-20305,497,4,9905.199999999999,1,1,1,111,Lost,Bad
RC-20350,240,4,6420.290400000001,2,1,1,211,About To Sleep,Low
RC-20440,10,8,48405.7036,5,4,5,545,Champions,Very Good
RC-20575,28,9,35596.119999999995,5,4,4,544,Champions,Very Good
RC-20605,76,9,32160.6436,3,4,4,344,Need Attention,Average
RD-20215,83,9,52804.5928,3,4,5,345,Loyal Customers,Average
RF-20395,40,5,32994.8384,4,2,4,424,Potential Loyalist,Good
RM-20365,191,7,15341.0888,2,3,2,232,Hibernating,Low
RM-20380,210,7,19893.0784,2,3,3,233,Hibernating,Low
RM-20410,34,10,24293.0368,4,5,3,453,Potential Loyalist,Very Good
RM-20455,185,2,1946.2400000000002,2,1,1,211,About To Sleep,Low
RM-20485,128,4,33303.31999999999,2,1,4,214,Can't Lose Them,Low
RM-20590,392,5,28159.2,1,2,4,124,At Risk,Bad
RN-20260,1,6,12042.6,5,2,1,521,Potential Loyalist,Very Good
RO-20560,76,7,19837,3,3,2,332,Hibernating,Average
RP-20245,34,5,11131.533200000002,4,2,1,421,Potential Loyalist,Good
RP-20320,533,5,18011.7536,1,2,2,122,At Risk,Bad
RQ-20470,91,8,42493.8,3,4,5,345,Loyal Customers,Average
RR-20515,106,5,19076.195200000002,3,2,2,322,Hibernating,Average
RR-20545,17,5,13323.400000000001,5,2,2,522,Potential Loyalist,Very Good
RS-20335,65,8,28659.1132,3,4,4,344,Need Attention,Average
RS-20425,35,3,13369.1344,4,1,2,412,Promising,Good
RS-20620,42,7,9583.800000000001,4,3,1,431,Potential Loyalist,Good
RV-20500,407,6,33076.28,1,2,4,124,At Risk,Bad
RV-20635,33,9,17747.88,4,4,2,442,Potential Loyalist,Good
RZ-20275,22,11,50477.655999999995,5,5,5,555,Champions,Very Good
SA-20845,9,12,33415.8352,5,5,4,554,Champions,Very Good
SA-20920,7,6,18668.1736,5,2,2,522,Potential Loyalist,Very Good
SB-20680,36,7,16350.0128,4,3,2,432,Potential Loyalist,Good
SB-20830,169,8,41372.9916,2,4,5,245,At Risk,Low
SB-20905,373,2,2103.2,1,1,1,111,Lost,Bad
SB-20980,143,9,54914.67999999999,2,4,5,245,At Risk,Low
SC-20665,35,6,16062.92,4,2,2,422,Potential Loyalist,Good
SC-20740,124,8,23726.374,2,4,3,243,At Risk,Low
SC-20785,23,5,14083.2,5,2,2,522,Potential Loyalist,Very Good
SE-20860,206,8,35529.9496,2,4,4,244,Can't Lose Them,Low
SG-20755,146,12,66834.04000000001,2,5,5,255,Can't Lose Them,Average
SG-20815,35,9,26275.7168,4,4,3,443,Need Attention,Good
SG-20965,257,2,15660,1,1,2,112,Lost,Bad
SM-20890,17,6,28623.8436,5,2,4,524,Champions,Very Good
SN-20875,166,5,15585.101999999997,2,2,2,222,Hibernating,Low
SO-20650,57,6,25013.5664,4,2,3,423,Potential Loyalist,Good
SO-20800,203,4,4073.484,2,1,1,211,About To Sleep,Low
SP-20695,10,7,45950.216,5,3,5,535,Champions,Very Good
SP-20770,41,9,31749.0108,4,4,4,444,Need Attention,Good
SP-20950,79,7,29672.1524,3,3,4,334,Need Attention,Average
SS-20710,45,7,17118.1136,4,3,2,432,Potential Loyalist,Good
SS-20725,8,7,32142.6208,5,3,4,534,Champions,Very Good
SS-20935,227,5,24051.271999999997,2,2,3,223,Hibernating,Low
TA-21175,40,10,57196.439999999995,4,5,5,455,Champions,Very Good
TA-21310,42,7,19373.920000000002,4,3,2,432,Potential Loyalist,Good
TC-21085,269,9,20148.280000000002,1,4,3,143,At Risk,Bad
TD-21130,22,11,60260.686799999996,5,5,5,555,Champions,Very Good
TF-21070,66,6,13540.720000000001,3,2,2,322,Hibernating,Average
TG-21055,319,10,18976.3272,1,5,2,152,At Risk,Low
TG-21100,90,5,9551.4,3,2,1,321,About To Sleep,Average
TJ-21265,2,10,23337.760000000002,5,5,3,553,Loyal Customers,Very Good
TL-21115,44,11,32677.716800000002,4,5,4,454,Champions,Very Good
TM-21220,232,4,25031.241599999998,2,1,3,213,About To Sleep,Low
TN-21010,96,3,26103.32,3,1,3,313,Potential Loyalist,Average
TO-21025,686,5,7838.240000000001,1,2,1,121,Lost,Bad
TO-21040,188,8,27793.9104,2,4,3,243,At Risk,Low
TO-21190,99,4,7050.0712,3,1,1,311,About To Sleep,Average
TR-21250,81,8,53105.8,3,4,5,345,Loyal Customers,Average
TR-21280,58,12,59675.3796,4,5,5,455,Champions,Very Good
TS-21205,120,5,27377.5652,2,2,3,223,Hibernating,Low
TS-21235,470,5,28685.159999999996,1,2,4,124,At Risk,Bad
TT-20995,1,4,9854.439999999999,5,1,1,511,New Customers,Very Good
TT-21145,57,9,81957.8416,4,4,5,445,Loyal Customers,Good
TU-21295,30,5,18574.4,5,2,2,522,Potential Loyalist,Very Good
TV-21160,9,5,10860.16,5,2,1,521,Potential Loyalist,Very Good
UÁ-21325,253,4,20894.6456,1,1,3,113,Lost,Bad
UL-21340,43,10,71944.25880000001,4,5,5,455,Champions,Very Good
UN-21385,98,6,51946.587999999996,3,2,5,325,Potential Loyalist,Average
UP-21370,49,6,21898.19,4,2,3,423,Potential Loyalist,Good
UR-21355,55,10,50126.59999999999,4,5,5,455,Champions,Very Good
UR-21400,210,9,16202.759999999998,2,4,2,242,At Risk,Low
ÚS-21430,48,3,18137.92,4,1,2,412,Promising,Good
UV-21415,49,6,24095.8692,4,2,3,423,Potential Loyalist,Good
VA-21445,9,15,78530.634,5,5,5,555,Champions,Very Good
VA-21595,29,7,25613.920000000002,5,3,3,533,Potential Loyalist,Very Good
VB-21610,372,9,31393.48,1,4,4,144,Can't Lose Them,Bad
VC-21490,41,5,25421.684,4,2,3,423,Potential Loyalist,Good
VC-21535,1,11,31411.16,5,5,4,554,Champions,Very Good
VC-21565,134,8,28223.8,2,4,4,244,Can't Lose Them,Low
VC-21715,218,7,48025.84,2,3,5,235,At Risk,Low
VC-21730,69,8,30995.494,3,4,4,344,Need Attention,Average
VC-21745,52,3,10968.306,4,1,1,411,Promising,Good
VG-21655,85,5,13065.84,3,2,2,322,Hibernating,Average
VH-21640,27,10,38200.758,5,5,4,554,Champions,Very Good
VL-21670,58,5,30278.719999999998,4,2,4,424,Potential Loyalist,Good
VM-21460,62,10,21887.5216,4,5,3,453,Potential Loyalist,Very Good
VM-21475,10,7,17759.8536,5,3,2,532,Potential Loyalist,Very Good
VM-21625,73,6,27945.360000000004,3,2,3,323,Hibernating,Average
VO-21520,31,5,34857.231199999995,5,2,4,524,Champions,Very Good
VO-21580,52,7,24212.04,4,3,3,433,Need Attention,Good
VP-21700,357,2,40274.88,1,1,4,114,At Risk,Bad
VS-21505,100,7,11104.712,3,3,1,331,Potential Loyalist,Average
VV-21550,6,10,29716.56,5,5,4,554,Champions,Very Good
VZ-21685,33,10,34516.2432,4,5,4,454,Champions,Very Good
WA-21775,75,5,9758.320000000002,3,2,1,321,About To Sleep,Average
WL-21760,98,7,14321.880000000003,3,3,2,332,Hibernating,Average
WM-21805,3,6,40842.813599999994,5,2,5,525,Champions,Very Good
WN-21790,185,8,44610.119999999995,2,4,5,245,At Risk,Low
WR-21835,1183,1,3073.6000000000004,1,1,1,111,Lost,Bad
WV-21820,139,2,9561.8,2,1,1,211,About To Sleep,Low
YA-21865,240,5,29958.6,2,2,4,224,Can't Lose Them,Low
YA-21880,126,8,45735.52,2,4,5,245,At Risk,Low
YP-21895,875,4,4059.9999999999995,1,1,1,111,Lost,Bad
YP-21910,55,6,11479.055600000002,4,2,1,421,Potential Loyalist,Good
YS-21925,197,3,15504.214,2,1,2,212,About To Sleep,Low
YV-21850,105,9,37810.91,3,4,4,344,Need Attention,Average
